"REPD Ref","Status","Site Name","Technology","Capacity (MW)","Local Authority","LA Code"
"Borders","Chesters - Millmoor Rig Wind Farm & Battery Energy Storage","Wind Onshore",78,"Application Submitted","Scottish Borders","S12000026"
"Shetland","Mossy Hill","Wind Onshore",46.8,"Awaiting Construction","Shetland Islands","S12000027"
"Shetland","North Hoo Fields","Wind Onshore",0.9,"Awaiting Construction","Shetland Islands","S12000027"
"Shetland","Culterfield, Cunningsburgh Wind","Wind Onshore",2.7,"Application Submitted","Shetland Islands","S12000027"
"Strathclyde","Girvan Distillery, Main Street - Anaerobic Digestion Facility","Anaerobic Digestion",2,"Awaiting Construction","South Ayrshire","S12000028"
"Ayrshire","Ailsa Hospital - Wind Turbine","Wind Onshore",1,"Application Submitted","South Ayrshire","S12000028"
"Strathclyde","Ladywell Avenue - Solar Panels","Solar Photovoltaics",0.25,"Application Submitted","South Ayrshire","S12000028"
"South Ayrshire","Kirk Hill Wind Farm","Wind Onshore",18.8,"Under Construction","South Ayrshire","S12000028"
"South Lanarkshire","Douglas West and Dalquhandy Renewable Energy Project","Wind Onshore",49,"Under Construction","South Lanarkshire","S12000029"
"Strathclyde","HY2GO - Hydrogen Electrolysis Facility","Hydrogen",NA,"Awaiting Construction","South Lanarkshire","S12000029"
"Strathclyde","Tennant Avenue College, East Kilbride - Solar Panels","Solar Photovoltaics",0.936,"Awaiting Construction","South Lanarkshire","S12000029"
"Strathclyde","Mill Rig Wind Farm","Wind Onshore",36,"Application Submitted","South Lanarkshire","S12000029"
"Strathclyde","Stoneyhill Farm Wind turbines","Wind Onshore",NA,"Application Submitted","South Lanarkshire","S12000029"
"Lanarkshire","Carlindean Farm, Carnwath - Anaerobic Digestion Plant","Anaerobic Digestion",NA,"Application Submitted","South Lanarkshire","S12000029"
"Strathclyde","Cunninghame Road, Farm Castle Industrial Estate - Solar Panels","Solar Photovoltaics",0.19,"Awaiting Construction","South Lanarkshire","S12000029"
